,tweetcreatedts,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,userID
0,4/29/2021 17:10,ParqEx_Madison,The Private Parking Marketplace - Madison,"Madison, WI",60,28,2313,0,"Per year, drivers waste approximately $345 in time, fuel &amp; emissions!

#ParqEx has ways for you to cut those costs by booking #parking ahead of time.

Stop driving in circles looking for parking - download our app! 

https://t.co/ixxXN3aYbi

#Madison #Wisconsin https://t.co/Jlg5UkKOBr",#ParqEx #parking #Madison #Wisconsin,7.88E+17
1,4/29/2021 17:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#linkedin #twitter #facebook #shoppingstaronline #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#linkedin #twitter #facebook #shoppingstaronline #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport #airportparking,617853906
2,4/29/2021 17:01,ParqEx,ParqEx is The Smart Parking Platform that is transforming parking real-estate (855)727-7391.,United States,12023,30475,9396,0,"Per year, drivers waste approximately $345 in time, fuel &amp; emissions!

#ParqEx has ways for you to cut those costs by booking #parking ahead of time.

Stop driving in circles looking for parking - download our app! 

https://t.co/09PTDqpplo https://t.co/orRwI9zHNw",#ParqEx #parking,2410066170
3,4/29/2021 17:00,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 1:00 PM

Alewife: 1974 free spaces (15% full)
Beverly: 347 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 522 (22%)
Wonderland: 1216 (15%)
Woodland: 343 (35%)",#Parking,9.99E+17
5,4/29/2021 16:55,kettlemoraine,"I study and discuss urban planning, placemaking, sustainability, transit, cycling, and local food issues worldwide; I focus on innovation occurring in cities.","Portland, OR",1046,1961,11238,0,"@this_is_adam_s I think the strategy is to simply see its success! Walking through Chophouse Row, you immediately feel why and how it works, regardless of car #parking availability.",#parking,22168273
6,4/29/2021 16:49,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1720,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in New York, NY. Check out our Attendant - Driving opportunity. https://t.co/rh1DGxkIBy #CustomerService",#parking #CustomerService,9.28E+17
7,4/29/2021 16:31,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22162,0,"#Parking Availability @ 12:31 PM

Alewife: 1974 free spaces (15% full)
Beverly: 349 (13%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Salem: 521 (22%)
Wonderland: 1216 (15%)
Woodland: 341 (36%)",#Parking,9.99E+17
8,4/29/2021 16:30,BenjaminLofts,"WE ARE BENJAMIN LOFTS Off-Campus Student Apartments in Cheney, Washington! The Benjamin is now leasing for Fall 2020! Our luxury student housing community will","Cheney, WA",3,35,885,0,"Just a reminder that a parking pass is only $7/month! The best part is that you will always have a spot!

#ParkingPass #Parking #ResidentParking #TheBenjaminLofts #ShowMeTheBenjamin #EasternWashingtonUniversity #EWU #CheneyWA #StudentHousing #OffCampusStudentHousing https://t.co/8VywfviplT",#ParkingPass #Parking #ResidentParking #TheBenjaminLofts #ShowMeTheBenjamin #EasternWashingtonUniversity #EWU #CheneyWA #StudentHousing #OffCampusStudentHousing,1.18E+18
9,4/29/2021 16:20,ParqEx_MKE,The SMART Parking Platform - Milwaukee,"Milwaukee, WI",97,66,2320,0,"â€œAmericans spend an incredible $72.7 billion searching for the elusive #parking spot,â€ said Bob Pishue, senior economist at INRIX. As per a study in 2017, there is an added cost of $345 per driver per year in wasted time, fuel and emissions. 
To read more, https://t.co/qEovFMCl5M https://t.co/PSXq4jdUme",#parking,7.81E+17
10,4/29/2021 16:10,ParqEx_Madison,The Private Parking Marketplace - Madison,"Madison, WI",60,28,2313,0,"â€œAmericans spend an incredible $72.7 billion searching for the elusive #parking spot,â€ said Bob Pishue, senior economist at INRIX. As per a study in 2017, there is an added cost of $345 per driver per year in wasted time, fuel and emissions. 
To read more, https://t.co/CXonBzQdQd https://t.co/TDDX3SC66D",#parking,7.88E+17
11,4/29/2021 16:06,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4826,69573,1048574,0,#linkedin #twitter #shoppingstaronline #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,#linkedin #twitter #shoppingstaronline #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingonline #parking #airport #airportparking,617853906
