,tweetcreatedts,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags,userID
0,2021-04-28 22:33:27,CoworkPortmore,"Corporate Services Associates is a customer-centric organization & Coworking host in Portmore, St. Catherine. It's OUR business to help your business.","Portmore, Jamaica ",221,312,1686,2,"Amenities includes:
Premium Wifi
Unlimited Coffee and tea
Comfortable air conditioned rooms
Secured parking
Personal storage lockers

#coffee #parking #coworking #coffeelovers #remoteoffice #meetingrooms #portmore #coworkingspace #coworkingcommunity https://t.co/e5hi8MQoM3",[],24558224
1,2021-04-28 22:30:42,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 6:30 PM

Alewife: 2186 free spaces (6% full)
Beverly: 353 (12%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1361 (5%)
Woodland: 509 (4%)",['Parking'],999342579790557194
2,2021-04-28 22:22:06,MichaelSnasdell,"Blogger, writer. and all round lazy guy. Note 20 Ultra user. Instagram Snazy123 . My views and opinions are my own, if you don't like them, don't read them!",London,477,872,63395,0,"#POTD2021 Day 118. Selfish parking!  Not only parked right in the middle of two cars, with room for another, but also in a cycle lane! Does it get more selfish? Bet its not even taxed! 🤣 #potd #parking #parkingwars #selfish #justkiddin
https://t.co/3ERYBHq04Y https://t.co/lY9aFsmUKT","['POTD2021', 'potd', 'parking', 'parkingwars', 'selfish', 'justkiddin']",24283002
3,2021-04-28 22:06:20,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shopping #shoppingaddict #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'gift', 'gifts', 'giftideas', 'shop', 'shopping', 'shoppingaddict', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
4,2021-04-28 22:00:45,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 6:00 PM

Alewife: 2165 free spaces (7% full)
Beverly: 351 (12%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1350 (5%)
Woodland: 493 (7%)",['Parking'],999342579790557194
5,2021-04-28 21:56:44,SPPlusCareers,"SP+ (SP Plus) is a diverse provider of professional parking, ground transportation, facility maintenance, security, & event logistics services.  #Hiring #jobs",,126,809,1743,0,"Ever thought about a job in #parking? With over 4,000 locations across the US and Canada, SP + is looking for new team members in Nashville, TN. Check out our Attendant opportunity. https://t.co/GlJFEm37wn #CustomerService","['parking', 'CustomerService']",928378622121070593
6,2021-04-28 21:30:50,MBTA_Parking,"Tweeting weekday morning updates about @MBTA parking garages: Alewife, Beverly, Braintree, Route 128, Salem, Quincy Adams, Wonderland, and Woodland.","Boston, MA",2,2205,22137,0,"#Parking Availability @ 5:30 PM

Alewife: 2141 free spaces (8% full)
Beverly: 354 (12%)
Quincy Adams: 775 (1%)
Route 128: 2045 (6%)
Wonderland: 1319 (8%)
Woodland: 473 (11%)",['Parking'],999342579790557194
7,2021-04-28 21:29:19,FLiDistribution,"Representing brands such as KTM Bikes, Ursus, Puky, Elite, Schwalbe, Sram, Shimano, Ritchey, Selle Italia and many many more",Yorkshire,1706,1130,3756,0,Great to see the Puky balance bike getting the love it deserves #puky #parking https://t.co/MP7K5bcutU,"['puky', 'parking']",544509116
8,2021-04-28 21:10:35,ParkingChicago,"Millennium Garages features the most convenient parking in the heart of the downtown Chicago shopping, tourist, and business districts. Park Here, Go Anywhere.","Chicago, IL",131,136,579,1,"Congrats to our partner @ParkingChicago for hosting the @LyricOpera's latest production! The future for #parking facilities can go far beyond #mobility use cases, &amp; this incredible #collaboration showcases the industry's potential.

https://t.co/MB8t5S9nJM",['parking'],349138754
9,2021-04-28 21:06:20,bmurphypointman,#affiliate #affiliatemarketing #bitcoin #business  #cryptocurrency #doge #deals #discount #gifts #marketing #shopping #socialmedia #travel #twitter #webtalk,"Bay Area, CA",4823,69595,1047327,0,#linkedin #twitter #facebook #instagram #bitcoin #socialmedia #pinterest #dogecoin #deal #gift #gifts #giftideas #shop #shoppingaddict #shopping #shoppingonline #parking #airport Save Up To 70% For A Limited Time Only On #airportparking https://t.co/UsGkiUEntP,"['linkedin', 'twitter', 'facebook', 'instagram', 'bitcoin', 'socialmedia', 'pinterest', 'dogecoin', 'deal', 'gift', 'gifts', 'giftideas', 'shop', 'shoppingaddict', 'shopping', 'shoppingonline', 'parking', 'airport', 'airportparking']",617853906
